IAB,0050C2C54,HPC Platform,63 rue Madeleine Michelis Neuilly Sur Seine  FR 92200 
IAB,0050C2612,IHP-GmbH,Im Technologiepark 25 Frankfurt (Oder) Brandenburg DE 15236 
MA-L,644ED7,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,7C4D8F,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,5C60BA,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,508140,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,F80DAC,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,040E3C,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,002561,ProCurve Networking by HP,60 Alexandra Terrace 0000  SG 118502 
MA-L,001B3F,ProCurve Networking by HP,60 Alexandra Terrace   SG 118502 
MA-L,E073E7,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,846993,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,C01803,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,C85ACF,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,842AFD,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,002347,ProCurve Networking by HP,60 Alexandra Terrace 0000  SG 118502 
MA-L,0024A8,ProCurve Networking by HP,60 Alexandra Terrace 0000  SG 118502 
MA-L,C09134,ProCurve Networking by HP,60 Alexandra Terrace 0000  SG 118502 
MA-L,0021F7,HPN Supply Chain,8000 Foothills Blvd Roseville CA US 95747 
MA-L,00193C,HighPoint Technologies Incorporated,1161 Cadillac Court Milpitas CA US 95035 
MA-L,2C58B9,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,B0227A,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,3822E2,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,E8D8D1,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,00A068,BHP LIMITED,1500 Post Oak Boulevard #11.08 B Houston TX US 77056-3030 
MA-L,B439D6,ProCurve Networking by HP,60 Alexandra Terrace 0000  SG 118502 
MA-L,0026F1,ProCurve Networking by HP,60 Alexandra Terrace 0000  SG 118502 
MA-L,4C3909,HPL Electric & Power Private Limited,"133, Pace City-1, Sec-37 Gurgaon Haryana IN 122001 "
MA-L,001DB3,HPN Supply Chain,8000 Foothills Blvd Roseville CA US 95747 
MA-L,001C2E,HPN Supply Chain,8000 Foothills Blvd Roseville CA US 95747 
MA-L,D0AD08,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,30138B,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,7C5758,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,E070EA,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,14CB19,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,6C02E0,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,B05CDA,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,001FFE,HPN Supply Chain,8000 Foothills Blvd Roseville CA US 95747 
MA-L,001D31,"HIGHPRO INTERNATIONAL R&D CO,.LTD.","3F,No.295,RuiGuang Rd,Nei Hu, Taipei  TW 114 "
MA-L,603457,HP Tuners LLC,700 Eastwood Ln Buffalo Grove IL US 60089 
MA-L,BC0FF3,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,38CA84,HP Inc.,10300 Energy Drive Spring TX US 77389 
MA-L,A8B13B,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,489EBD,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,3024A9,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,BCE92F,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,0068EB,HP Inc.,10300 Energy Dr Spring TX US 77389 
MA-L,4CDD7D,LHP Telematics LLC,17406 Tiller Ct. STE 100 westfield IN US 46074 
MA-L,0016B9,ProCurve Networking by HP,8000 Foothills Blvd Roseville CA US 95747 
MA-L,F06281,ProCurve Networking by HP,60 Alexandra Terrace   SG 118502 
MA-L,001F28,HPN Supply Chain,8000 Foothills Blvd Roseville CA US 95747 
MA-M,88A6EF8,TechPLEX Inc.,"16, Deongmyeong-ro 71, Yuseong-gu Daejeon  KR 34155 "
MA-M,60A4346,Lechpol Electronics Leszek Sp.k.,Garwolinska 1 Mietne mazowieckie PL 08-400 
MA-M,20CE2AA,"MeshPlusPlus, Inc.","935 W. Chestnut St., Suite #505 Chicago IL US 60642 "
MA-S,8C1F64B20,Lechpol Electronics Spółka z o.o. Sp.k.,Garwolińska 1  Mietne Garwolin PL 08-400 
MA-S,70B3D5A3F,PHPower Srl,Via Borgonuovo 27 Milano MI IT 20121 
MA-S,001BC5079,HPI High Pressure Instrumentation GmbH,Ueberfuhrgasse 37 Graz Steiermark AT 8020 
Registry,Assignment,Organization Name,Organization Address
